choose = 2
0.00300000 0.00300000 0.00067754 22
0.00310000 0.00310000 0.00067860 32
0.00320000 0.00320000 0.00068182 25
0.00330000 0.00330000 0.00068720 22
0.00340000 0.00340000 0.00069474 21
0.00350000 0.00350000 0.00069663 30
0.00360000 0.00360000 0.00069139 37
0.00370000 0.00370000 0.00068885 38
0.00380000 0.00380000 0.00068894 20
0.00390000 0.00390000 0.00069021 32
0.00400000 0.00400000 0.00068926 42
0.00410000 0.00410000 0.00068958 46
0.00420000 0.00420000 0.00069118 20
0.00430000 0.00430000 0.00069406 32
0.00440000 0.00440000 0.00069822 19
0.00450000 0.00450000 0.00070364 37
0.00460000 0.00460000 0.00070984 39
0.00470000 0.00470000 0.00070876 26
0.00480000 0.00480000 0.00071023 21
0.00490000 0.00490000 0.00071425 20
0.00500000 0.00500000 0.00072083 22
0.00510000 0.00510000 0.00072997 21
0.00520000 0.00520000 0.00074166 22
0.00530000 0.00530000 0.00075590 20
0.00540000 0.00540000 0.00075876 22
0.00550000 0.00550000 0.00076037 26
0.00560000 0.00560000 0.00076299 35
0.00570000 0.00570000 0.00076663 33
0.00580000 0.00580000 0.00077127 36
0.00590000 0.00590000 0.00077693 19
0.00600000 0.00600000 0.00078359 21
0.00610000 0.00610000 0.00079127 20
0.00620000 0.00620000 0.00079995 19
0.00630000 0.00630000 0.00080965 22
0.00640000 0.00640000 0.00082035 22
0.00650000 0.00650000 0.00083207 24
0.00660000 0.00660000 0.00084480 23
0.00670000 0.00670000 0.00085853 25
0.00680000 0.00680000 0.00087328 20
0.00690000 0.00690000 0.00088904 51
0.00700000 0.00700000 0.00090580 23
0.00710000 0.00710000 0.00092358 19
0.00720000 0.00720000 0.00094237 24
0.00730000 0.00730000 0.00096217 21
0.00740000 0.00740000 0.00098298 22
0.00750000 0.00750000 0.00100479 21
0.00760000 0.00760000 0.00101605 20
0.00770000 0.00770000 0.00102936 25
0.00780000 0.00780000 0.00104470 39
0.00790000 0.00790000 0.00106208 39
0.00800000 0.00800000 0.00108151 18
0.00810000 0.00810000 0.00110297 20
0.00820000 0.00820000 0.00112648 21
0.00830000 0.00830000 0.00115202 18
0.00840000 0.00840000 0.00117960 8
0.00850000 0.00850000 0.00120923 7
0.00860000 0.00860000 0.00124089 9
0.00870000 0.00870000 0.00127460 8
0.00880000 0.00880000 0.00131035 8
0.00890000 0.00890000 0.00134813 8
0.00900000 0.00900000 0.00138796 7
0.00910000 0.00910000 0.00142982 10
0.00920000 0.00920000 0.00147373 11
0.00930000 0.00930000 0.00151968 8
0.00940000 0.00940000 0.00156766 11
0.00950000 0.00950000 0.00161769 13
0.00960000 0.00960000 0.00166976 8
0.00970000 0.00970000 0.00172387 10
0.00980000 0.00980000 0.00178002 9
0.00990000 0.00990000 0.00183820 8
0.01000000 0.01000000 0.00189843 8
0.01010000 0.01010000 0.00196070 8
0.01020000 0.01020000 0.00202501 10
0.01030000 0.01030000 0.00209136 8
0.01040000 0.01040000 0.00215975 8
0.01050000 0.01050000 0.00223018 10
0.01060000 0.01060000 0.00230265 9
0.01070000 0.01070000 0.00237716 8
0.01080000 0.01080000 0.00245371 7
0.01090000 0.01090000 0.00253230 8
0.01100000 0.01100000 0.00261293 10
0.01110000 0.01110000 0.00269561 10
0.01120000 0.01120000 0.00278036 8
0.01130000 0.01130000 0.00286737 10
0.01140000 0.01140000 0.00295668 8
0.01150000 0.01150000 0.00304829 9
0.01160000 0.01160000 0.00314219 10
0.01170000 0.01170000 0.00323838 8
0.01180000 0.01180000 0.00333687 8
0.01190000 0.01190000 0.00343765 9
0.01200000 0.01200000 0.00354089 10
0.01210000 0.01210000 0.00364875 7
0.01220000 0.01220000 0.00376191 9
0.01230000 0.01230000 0.00388038 8
0.01240000 0.01240000 0.00400415 8
0.01250000 0.01250000 0.00413322 8
0.01260000 0.01260000 0.00426760 7
0.01270000 0.01270000 0.00440729 8
0.01280000 0.01280000 0.00455227 8
0.01290000 0.01290000 0.00470256 10
0.01300000 0.01300000 0.00485816 10
0.01310000 0.01310000 0.00501906 8
0.01320000 0.01320000 0.00518526 8
0.01330000 0.01330000 0.00535677 8
