choose = 2
0.85 -0.000683015 106
0.86 -0.000602189 98
0.87 -0.000526282 114
0.88 -0.000452108 109
0.89 -0.000379608 151
0.9 -0.000310144 182
0.91 -0.000245679 296
0.92 -0.000182672 1374
0.93 -0.000121075 4224
0.94 -6.08438e-05 12842
0.95 -9.34982e-06 42721
0.96 3.33738e-05 78308
0.97 6.96354e-05 71152
0.98 9.98801e-05 20688
0.99 0.000126698 8400

choose = 7
0 -0.0107034 10
0.01 -0.0105672 21
0.02 -0.010431 18
0.03 -0.0102948 18
0.04 -0.0101586 18
0.05 -0.0100224 19
0.06 -0.00988624 19
0.07 -0.00975003 18
0.08 -0.00961383 18
0.09 -0.00947764 18
0.1 -0.00934246 18
0.11 -0.00920885 18
0.12 -0.00907643 18
0.13 -0.00894491 18
0.14 -0.00881411 18
0.15 -0.00868387 20
0.16 -0.0085541 18
0.17 -0.00842472 17
0.18 -0.00829565 18
0.19 -0.00816685 18
0.2 -0.00803827 21
0.21 -0.0079099 18
0.22 -0.00778169 18
0.23 -0.00765362 17
0.24 -0.00752569 17
0.25 -0.00739787 18
0.26 -0.00727015 18
0.27 -0.0071426 18
0.28 -0.00701565 20
0.29 -0.0068893 18
0.3 -0.00676351 18
0.31 -0.00663821 18
0.32 -0.00651336 19
0.33 -0.00638892 19
0.34 -0.00626485 18
0.35 -0.00614111 18
0.36 -0.00601769 20
0.37 -0.00589456 18
0.38 -0.00577169 19
0.39 -0.00564906 18
0.4 -0.00552666 18
0.41 -0.00540447 19
0.42 -0.00528247 20
0.43 -0.00516065 18
0.44 -0.005039 19
0.45 -0.0049175 18
0.46 -0.00479616 17
0.47 -0.00467495 17
0.48 -0.00455388 17
0.49 -0.0044336 17
0.5 -0.00431442 18
0.51 -0.00419626 18
0.52 -0.00407906 17
0.53 -0.00396278 17
0.54 -0.00384736 18
0.55 -0.00373275 19
0.56 -0.00361891 18
0.57 -0.0035058 18
0.58 -0.00339339 20
0.59 -0.00328163 21
0.6 -0.00317049 19
0.61 -0.00305995 18
0.62 -0.00294998 19
0.63 -0.00284054 18
0.64 -0.00273161 18
0.65 -0.00262317 18
0.66 -0.0025152 19
0.67 -0.00240768 19
0.68 -0.00230069 21
0.69 -0.00219479 20
0.7 -0.00209011 21
0.71 -0.00198693 21
0.72 -0.00188549 20
0.73 -0.00178571 20
0.74 -0.00168754 19
0.75 -0.0015909 18
0.76 -0.00149574 18
0.77 -0.001402 18
0.78 -0.00130962 18
0.79 -0.00121855 152
0.8 -0.00112875 108
0.81 -0.00104016 85
0.82 -0.000952737 95
0.83 -0.000866447 99
0.84 -0.000781246 117
0.85 -0.000697095 116
0.86 -0.000614715 107
0.87 -0.000537431 136
0.88 -0.00046331 126
0.89 -0.000391284 135
0.9 -0.000322664 207
0.91 -0.000255938 334
0.92 -0.000192611 1138
0.93 -0.00013259 4122
0.94 -7.40328e-05 10995
0.95 -2.22578e-05 29089
0.96 2.11785e-05 61881
0.97 5.98879e-05 94835
0.98 9.49895e-05 70941
0.99 0.000121738 18535

choose = 8
0 -0.0107034 11
0.01 -0.0105672 22
0.02 -0.010431 20
0.03 -0.0102948 20
0.04 -0.0101586 20
0.05 -0.0100224 19
0.06 -0.00988624 19
0.07 -0.00975003 21
0.08 -0.00961383 19
0.09 -0.00947764 22
0.1 -0.00934246 19
0.11 -0.00920885 19
0.12 -0.00907643 19
0.13 -0.00894491 19
0.14 -0.00881411 22
0.15 -0.00868387 20
0.16 -0.0085541 19
0.17 -0.00842472 21
0.18 -0.00829565 20
0.19 -0.00816685 21
0.2 -0.00803827 21
0.21 -0.0079099 19
0.22 -0.00778169 20
0.23 -0.00765362 20
0.24 -0.00752569 20
0.25 -0.00739787 21
0.26 -0.00727015 20
0.27 -0.0071426 19
0.28 -0.00701565 21
0.29 -0.0068893 19
0.3 -0.00676351 20
0.31 -0.00663821 19
0.32 -0.00651336 22
0.33 -0.00638892 21
0.34 -0.00626485 20
0.35 -0.00614111 19
0.36 -0.00601769 19
0.37 -0.00589456 21
0.38 -0.00577169 20
0.39 -0.00564906 19
0.4 -0.00552666 21
0.41 -0.00540447 22
0.42 -0.00528247 19
0.43 -0.00516065 19
0.44 -0.005039 21
0.45 -0.0049175 20
0.46 -0.00479616 19
0.47 -0.00467495 20
0.48 -0.00455388 19
0.49 -0.0044336 19
0.5 -0.00431442 20
0.51 -0.00419626 20
0.52 -0.00407906 20
0.53 -0.00396278 20
0.54 -0.00384736 21
0.55 -0.00373275 23
0.56 -0.00361891 20
0.57 -0.0035058 19
0.58 -0.00339339 22
0.59 -0.00328163 20
0.6 -0.00317049 19
0.61 -0.00305995 20
0.62 -0.00294998 19
